_id,rental_id,rental_date,inventory_id,customer_id,return_date,staff_id,last_update
68f0ca3ba9bfe00e3826dfdc,1,2005-05-24T22:53:30.000Z,367,130,2005-05-26T22:04:30.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dfdd,2,2005-05-24T22:54:33.000Z,1525,459,2005-05-28T19:40:33.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dfde,3,2005-05-24T23:03:39.000Z,1711,408,2005-06-01T22:12:39.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dfdf,4,2005-05-24T23:04:41.000Z,2452,333,2005-06-03T01:43:41.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dfe0,5,2005-05-24T23:05:21.000Z,2079,222,2005-06-02T04:33:21.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dfe1,6,2005-05-24T23:08:07.000Z,2792,549,2005-05-27T01:32:07.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dfe2,7,2005-05-24T23:11:53.000Z,3995,269,2005-05-29T20:34:53.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dfe3,8,2005-05-24T23:31:46.000Z,2346,239,2005-05-27T23:33:46.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dfe4,9,2005-05-25T00:00:40.000Z,2580,126,2005-05-28T00:22:40.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dfe5,10,2005-05-25T00:02:21.000Z,1824,399,2005-05-31T22:44:21.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dfe6,11,2005-05-25T00:09:02.000Z,4443,142,2005-06-02T20:56:02.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dfe7,12,2005-05-25T00:19:27.000Z,1584,261,2005-05-30T05:44:27.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dfe8,13,2005-05-25T00:22:55.000Z,2294,334,2005-05-30T04:28:55.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dfe9,14,2005-05-25T00:31:15.000Z,2701,446,2005-05-26T02:56:15.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dfea,15,2005-05-25T00:39:22.000Z,3049,319,2005-06-03T03:30:22.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dfeb,16,2005-05-25T00:43:11.000Z,389,316,2005-05-26T04:42:11.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dfec,17,2005-05-25T01:06:36.000Z,830,575,2005-05-27T00:43:36.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dfed,18,2005-05-25T01:10:47.000Z,3376,19,2005-05-31T06:35:47.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dfee,19,2005-05-25T01:17:24.000Z,1941,456,2005-05-31T06:00:24.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dfef,20,2005-05-25T01:48:41.000Z,3517,185,2005-05-27T02:20:41.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dff0,21,2005-05-25T01:59:46.000Z,146,388,2005-05-26T01:01:46.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dff1,22,2005-05-25T02:19:23.000Z,727,509,2005-05-26T04:52:23.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dff2,23,2005-05-25T02:40:21.000Z,4441,438,2005-05-29T06:34:21.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dff3,24,2005-05-25T02:53:02.000Z,3273,350,2005-05-27T01:15:02.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dff4,25,2005-05-25T03:21:20.000Z,3961,37,2005-05-27T21:25:20.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dff5,26,2005-05-25T03:36:50.000Z,4371,371,2005-05-31T00:34:50.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dff6,27,2005-05-25T03:41:50.000Z,1225,301,2005-05-30T01:13:50.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dff7,28,2005-05-25T03:42:37.000Z,4068,232,2005-05-26T09:26:37.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dff8,29,2005-05-25T03:47:12.000Z,611,44,2005-05-30T00:31:12.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dff9,30,2005-05-25T04:01:32.000Z,3744,430,2005-05-30T03:12:32.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dffa,31,2005-05-25T04:05:17.000Z,4482,369,2005-05-30T07:15:17.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dffb,32,2005-05-25T04:06:21.000Z,3832,230,2005-05-25T23:55:21.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dffc,33,2005-05-25T04:18:51.000Z,1681,272,2005-05-27T03:58:51.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dffd,34,2005-05-25T04:19:28.000Z,2613,597,2005-05-29T00:10:28.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dffe,35,2005-05-25T04:24:36.000Z,1286,484,2005-05-27T07:02:36.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826dfff,36,2005-05-25T04:36:26.000Z,1308,88,2005-05-29T00:31:26.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826e000,37,2005-05-25T04:44:31.000Z,403,535,2005-05-29T01:03:31.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826e001,38,2005-05-25T04:47:44.000Z,2540,302,2005-06-01T00:58:44.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826e002,39,2005-05-25T04:51:46.000Z,4466,207,2005-05-31T03:14:46.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826e003,40,2005-05-25T05:09:04.000Z,2638,413,2005-05-27T23:12:04.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826e004,41,2005-05-25T05:12:29.000Z,1761,174,2005-06-02T00:28:29.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826e005,42,2005-05-25T05:24:58.000Z,380,523,2005-05-31T02:47:58.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826e006,43,2005-05-25T05:39:25.000Z,2578,532,2005-05-26T06:54:25.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826e007,44,2005-05-25T05:53:23.000Z,3098,207,2005-05-29T10:56:23.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826e008,45,2005-05-25T05:59:39.000Z,1853,436,2005-06-02T09:56:39.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826e009,46,2005-05-25T06:04:08.000Z,3318,7,2005-06-02T08:18:08.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826e00a,47,2005-05-25T06:05:20.000Z,2211,35,2005-05-30T03:04:20.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826e00b,48,2005-05-25T06:20:46.000Z,1780,282,2005-06-02T05:42:46.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826e00c,49,2005-05-25T06:39:35.000Z,2965,498,2005-05-30T10:12:35.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826e00d,50,2005-05-25T06:44:53.000Z,1983,18,2005-05-28T11:28:53.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826e00e,51,2005-05-25T06:49:10.000Z,1257,256,2005-05-26T06:42:10.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826e00f,52,2005-05-25T06:51:29.000Z,4017,507,2005-05-31T01:27:29.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826e010,53,2005-05-25T07:19:16.000Z,1255,569,2005-05-27T05:19:16.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826e011,54,2005-05-25T07:23:25.000Z,2787,291,2005-06-01T05:05:25.000Z,2,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826e012,55,2005-05-25T08:26:13.000Z,1139,131,2005-05-30T10:57:13.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826e013,56,2005-05-25T08:28:11.000Z,1352,511,2005-05-26T14:21:11.000Z,1,2006-02-15T21:30:53.000Z
68f0ca3ba9bfe00e3826e014,57,2005-05-25T08:43:32.000Z,3938,6,2005-05-29T06:42:32.000Z,2,2006-02-15T21:30:53.000Z
